Gene names,F1,F2,Category
SEC22B,0.622929891,0.394500097,NA
RPA1,0.619777044,0.883917491,NA
SRBD1,0.615336736,0.793570201,NA
KDELR1,0.613425573,0.488548915,NA
ZMYM4,0.602149328,0.877187729,NA
,0.597319921,-0.140639623,NA
ZNF397,0.597209295,-2.083548864,NA
LPCAT3,0.596382141,0.390061061,NA
SFN,0.59125646,0.000761032,NA
DAD1,0.589359283,0.603144964,NA
PSMC1,0.587844849,1.398055394,NA
TMEM33,0.582646052,0.306031545,NA
EP400,0.580802917,0.765783946,NA
YWHAE,0.578978221,0.735029856,NA
CCNB1,0.578603109,0.988577525,NA
RPL35A,0.57855924,0.365852356,NA
DTX3L,0.577215195,0.002106984,NA
EIF2B3,0.575157166,0.915987651,NA
MECP2,0.573184967,1.22864151,NA
TWISTNB,0.571700414,0.955106099,NA
RAB21,0.570962906,0.61549441,NA
EIF4A1,0.570742925,0.466871897,NA
SUMO3;SUMO2;SUMO4,0.570474625,1.532162984,NA
TCF25,0.569581985,0.314984004,NA
ARID2,0.563209534,0.786075592,NA
TADA1,0.560975393,0.53361702,NA
DNAJC13,0.558255514,1.075127284,NA
ARF1;ARF3;ARF5,0.556488673,0.663264592,NA
ICT1,0.54943339,-0.889341354,NA
WDR5,0.548185349,1.048295975,NA
EWSR1,0.542577744,0.333660126,NA
EEFSEC,0.531375885,0.713979721,NA
SEC13,0.530732473,1.004991531,NA
ERGIC1,0.530138016,0.626346588,NA
EIF3F,0.526597977,0.600852966,NA
SMARCA4,0.525204341,0.717485428,NA
MED17,0.524725596,0.449732463,NA
EIF2B5,0.523707072,0.867637634,NA
MPHOSPH8,0.522964478,1.181143443,NA
MOGS,0.522530874,-0.109846115,NA
AURKB,0.521954854,0.889778773,NA
RAB6B;RAB6A;RAB39A,0.521773656,0.599719365,NA
TRIM25,0.518426259,0.77386411,NA
MYL12A;MYL12B,0.51601855,0.531247457,NA
SRPRB,0.513558706,0.655816396,NA
SMCHD1,0.510009766,0.508576075,NA
GRWD1,0.506819407,1.058695475,NA
IMP3,0.506022135,0.425231934,NA
DHX8,0.504876455,0.670654933,NA
RANBP6,0.502990087,0.077323278,NA
PLCB4,0.502672195,0.500270844,NA
CWC15,0.499783198,-0.326136907,NA
SLC35B1,0.496706645,0.130118052,NA
IARS,0.496319453,0.530728658,NA
THEM6,0.493960698,2.308540344,NA
EEF2,0.493325551,0.471471786,NA
COPE,0.49236234,1.7227904,NA
CEPT1,0.490414302,-0.664592743,NA
PA2G4,0.488400141,1.50017039,NA
EIF2S1,0.48437055,0.685241063,NA
RARS,0.474494934,0.594395955,NA
SMC4,0.470880508,0.305358887,NA
NOMO1,0.466830571,0.697821299,NA
TUBB,0.462842306,0.829680761,NA
CLTC,0.461385727,0.522605896,NA
RPL28,0.461196899,0.31903712,NA
OSBPL8,0.46052297,0.368069331,NA
PNPLA6,0.460098267,0.007516225,NA
CNP,0.459684372,-0.618792852,NA
UHRF2,0.459253947,1.171585719,NA
ACTR3,0.457684835,1.40480868,NA
NLE1,0.457209905,0.474178314,NA
MBOAT7,0.456230164,0.450321833,NA
MIOS,0.456055959,0.312296549,NA
EXOSC1,0.451511383,0.295033137,NA
LPCAT1,0.450034459,1.137213389,NA
TAF6L,0.446771622,0.934794108,NA
EEF1A1;EEF1A1P5,0.44661204,0.372090022,NA
ATP5C1,0.445979436,-0.264762243,NA
HACD3,0.445135752,0.189213435,NA
PSMB2,0.442395528,0.998924255,NA
INTS10,0.441744486,0.683469137,NA
MBOAT2,0.441630681,0.258399328,NA
ADNP,0.441202164,1.258445104,NA
ABCC1,0.441188176,0.934394836,NA
DDX1,0.4402167,0.449027379,NA
YTHDC2,0.439094543,0.612990697,NA
CYB5R1,0.439085642,0.483517965,NA
AP1B1,0.437602997,0.184309642,NA
RP2,0.43428421,1.266736984,NA
ATP5A1,0.432971319,-0.175195058,NA
INCENP,0.432863235,0.753260295,NA
RBM4,0.432707469,0.949568431,NA
APOBEC3B;bK150C2.9;APOBEC3D,0.431748072,0.226008097,NA
FNDC3A,0.429985682,1.013008118,NA
ATP5F1,0.428811391,0.008727392,NA
TBL1XR1;TBL1X;TBL1Y,0.42852656,1.996179581,NA
RPL37A,0.428373337,0.522924423,NA
CMAS,0.426968257,0.993737539,NA
WRNIP1,0.425014496,0.618918101,NA
DHCR7,0.420740763,0.04766655,NA
STXBP3,0.420180639,0.283236821,NA
EIF3A,0.416676839,0.498662313,NA
RPL21,0.414519628,-0.0158933,NA
FAM83D,0.412573497,0.698833466,NA
DECR2,0.411917369,0.268200556,NA
CBX4,0.409249624,0.529845556,NA
EIF3E,0.407059987,0.285448074,NA
TMED10,0.406386058,0.129323324,NA
KAT5,0.405327479,0.687041601,NA
HBB,0.404718399,0.274110158,NA
EMC1,0.404377619,0.586675644,NA
RPN2,0.403312047,0.510458628,NA
EIF5A;EIF5A2;EIF5AL1,0.398643494,0.596107483,NA
AIMP2,0.397651037,0.349269231,NA
MED23,0.394402822,0.35243988,NA
GCN1L1,0.39246877,0.735064189,NA
NCLN,0.391159693,0.433264414,NA
EMC4,0.391145706,-0.688402176,NA
HNRNPUL1,0.391138077,0.706273397,NA
DEGS1,0.388839086,0.232779185,NA
PWP1,0.386687597,0.709828695,NA
ATP5O,0.385072072,-0.140134811,NA
PREB,0.384340922,-0.146860123,NA
SPCS3,0.380981445,0.371619542,NA
FN1,0.380311966,-2.534098943,NA
ZBTB37,0.376801809,0.79058075,NA
TMEM214,0.375587463,1.740209579,NA
ACTR1A,0.374814987,0.112570445,NA
RPL13A;RPL13a,0.371692657,0.328157425,NA
RPS27L,0.370981216,0.145381927,NA
RPL18A,0.370560328,0.170859019,NA
RPL19,0.368811289,0.268534978,NA
KPNA1,0.365270615,0.356567383,NA
TM9SF1,0.364586512,0.338972727,NA
MYH14,0.362588247,0.599472046,NA
THOC1,0.36113294,1.176791509,NA
ERLIN2,0.360521952,0.628464381,NA
RAB35,0.359194438,0.672054291,NA
MOV10,0.357658386,0.074226379,NA
SURF4,0.356154124,0.440745036,NA
BBX,0.355689367,0.442548752,NA
PAXBP1,0.355413437,0.423416138,NA
DNMT1,0.354265213,0.599875132,NA
WBSCR16,0.3540802,1.54679362,NA
EIF2A,0.354041417,0.965920766,NA
APPL2,0.352880478,0.627363841,NA
SIN3A,0.351830165,0.341417313,NA
FANCI,0.351111094,0.18175443,NA
EIF4E,0.350986481,0.314722697,NA
FBLL1,0.350547791,0.289398193,NA
ASUN,0.34865125,0.904506048,NA
PSPC1,0.346345266,0.968437831,NA
MMRN2,0.345369975,0.415983836,NA
ATP2A2,0.342765172,0.1908137,NA
HBS1L,0.342084885,0.478071213,NA
ING3,0.34206454,0.618307749,NA
BARD1,0.341925939,0.885166804,NA
RPN1,0.340494156,0.41246287,NA
CSNK2A1;CSNK2A3,0.340174357,1.127363205,NA
PCNA,0.339808782,0.837795893,NA
DDOST,0.337984085,0.390914281,NA
FXR1,0.336348852,0.217205683,NA
CPSF7,0.333745321,0.989720662,NA
TUBA1B,0.332468033,0.801121394,NA
EIF5B,0.331033071,0.155509949,NA
KIF20A,0.330803553,0.645854314,NA
RPL7,0.329024633,-0.061897278,NA
MYH10,0.327354431,0.282393773,NA
DARS,0.326365789,0.609464645,NA
CTCF,0.325579961,1.010849635,NA
SLC30A7,0.325184504,0.14105924,NA
RPS23,0.322432836,0.490270615,NA
MYL6,0.322224935,0.647534688,NA
MINA,0.319812775,0.743731817,NA
TM9SF3,0.319523493,0.291830063,NA
AHCYL1;AHCYL2,0.318569183,0.944784164,NA
RPL31,0.318447113,0.502086004,NA
SEMG1,0.316762924,2.783041636,NA
PSMA5,0.315404256,0.627061208,NA
EIF3B,0.314082464,0.315895716,NA
RPL18,0.313732147,0.062907537,NA
NDC1,0.312830607,1.53341802,NA
LTF,0.312028885,0.181166967,NA
