Gene names,F1,F2,Category
PHRF1,1.458224614,2.522071203,NA
IMMT,3.064101537,2.520334244,NA
NCOA2,3.103083293,2.519887288,General
NSUN2,2.736873627,2.51978302,NA
BBX,2.55292511,2.519406637,NA
FAM120A,2.670647939,2.510162989,NA
NCOR1,2.076288223,2.500923793,NA
SKI,1.812318166,2.497419357,NA
SMC3,2.561660767,2.49525706,NA
ALDH1A3,4.11596489,2.494346619,NA
PRPF3,2.580266317,2.490687052,NA
LYZ,2.216941198,2.487408956,NA
SNRPC,3.330818176,2.485488256,NA
HIST1H3A,1.934300105,2.480329514,NA
MRE11A,2.357508977,2.47035408,NA
RYR1,2.631178538,2.46857516,NA
SNRNP70,2.743286133,2.461887995,NA
DHX30,2.883463542,2.459723155,NA
WHSC1L1,2.225606918,2.45893987,NA
EIF2S2,2.701883316,2.443147659,NA
PHF5A,2.222121557,2.439867655,NA
EIF3G,2.906956991,2.43907547,NA
UTP15,2.332283656,2.420895259,NA
PPP1R10,1.636709849,2.42042923,NA
VARS,2.171354294,2.395296733,NA
ADNP,2.279957453,2.394137065,NA
ZMYM3,2.309492747,2.393896739,NA
SMARCA5,2.100809733,2.392965953,NA
CRCT1,2.292506536,2.389091492,NA
HIST2H2AC;HIST2H2AA3,0.404517492,2.383777618,NA
RIF1,1.835288366,2.3796374,NA
SERPINB7,2.792126973,2.365834554,NA
COPB2,2.387840271,2.363988876,NA
CPSF1,2.260185242,2.357342402,NA
SF1,2.318450928,2.354480743,NA
USP36,2.718909582,2.353456497,NA
YLPM1,2.389303843,2.346067429,NA
SMARCC2,3.662942886,2.342702866,NA
SRRT,2.729620616,2.335519155,NA
QSER1,2.598341624,2.334416072,NA
POGZ,2.793223699,2.333742778,NA
CLOCK;NPAS2,2.010970434,2.305318197,NA
AAAS,1.922795614,2.302228928,NA
S100A6,2.333049138,2.300383886,NA
TET2,2.678209305,2.300025304,NA
PCF11,2.396404266,2.29565684,NA
NFATC2,3.639069239,2.29543368,NA
PAK1IP1,2.110740026,2.289815267,NA
TMEM126A,2.992993037,2.276439031,NA
RPA1,2.123378118,2.271059036,NA
XRN2,2.121876399,2.266208649,NA
WDR46,2.446569443,2.265185674,NA
ANXA6,2.202770233,2.251549403,NA
ACOT9,2.363498052,2.246185939,NA
SNRPD1,2.704760869,2.240042369,NA
WT1,0.192855199,2.236206055,NA
GNB1,2.124219894,2.234462102,NA
ZNF207,1.387882233,2.2143809,NA
MDN1,1.855772018,2.209354401,NA
RRP8,1.292991002,2.20198377,NA
POLR2A,1.45614624,2.198926926,NA
TPM4,4.051315943,2.197904587,NA
DVL3,3.063351313,2.196187337,NA
CORO1B,2.493418376,2.195192973,NA
GNAS,1.939325333,2.18279775,NA
UPF1,2.396375656,2.179286321,NA
SRP68,2.135739009,2.163712184,NA
EHMT2,1.672187169,2.134223938,NA
