q_Value,Difference,stat,gene_name
0.083089051,0.472436587,2.017998852,GTPBP10
0.137618785,0.292729378,1.593078022,WDR91
0.033243011,1.166733742,3.04153479,RAB19
0.233677264,0.3485864,1.184385673,DENND11
0.020826667,0.586111069,3.664402341,MBLAC1
1,0,NaN,MTMR11
0.78500162,0.117037137,0.345752377,VPS37C
0.127236708,1.197240829,1.651269064,PEDS1
0.852570301,0.054872831,0.242954531,TRAPPC13
0.612004671,0.093775431,0.569097255,CNOT1
0.108026069,0.676934878,1.785261458,ARHGEF35
0.166867108,-0.563347816,-1.434324384,MAP1LC3B;MAP1LC3B2
0.006244776,-2.210674922,-4.717192453,C2orf72
0.004906832,-1.179025968,-4.791952178,PALM3
0.929859551,-0.028920492,-0.124514048,PGP
0.920867154,-0.017402331,-0.140412987,RIMOC1
0.844554957,0.131798426,0.255838548,RCCD1
0.414509468,0.42009608,0.826730055,ZNF316
0.166141341,-0.310015996,-1.4421592,TCAF2
0.239043416,-0.229315122,-1.167389805,WIPF3
0.931016379,-0.10882473,-0.121306042,TLCD2
1,0,NaN,GGT1;GGT3P
0.475416791,0.20431455,0.738854375,TUBAL3
0.944056979,0.018087387,0.098523682,SMCHD1
0.030861751,-0.674725215,-3.122713235,CASTOR2
0.552650948,-0.1164306,-0.641732544,ARHGAP42
0.283791539,0.574414571,1.063252113,CCDC69
0.24396803,-0.264396667,-1.154856801,UNC119B
0.304355443,-0.294439316,-1.021709968,METTL15
0.656149601,-0.213383357,-0.51341969,LIPT2
0.089853659,0.346894582,1.942927722,CCDC85C
0.13537099,0.358297984,1.603889359,SAC3D1
0.769271349,-0.319214503,-0.367462999,CGB1;CGB2;CGB3;CGB7
0.138668036,1.129577001,1.583496558,C15orf61
0.717479233,-0.203112284,-0.43871456,PTPA
0.114929339,0.237122854,1.724444941,ZSWIM8
0.417794525,-0.177921613,-0.821426807,ARHGAP32
0.319996723,-0.468922297,-0.990264479,DISP2
0.541972015,0.486995061,0.654701062,POM121C
0.837153728,0.30449295,0.26766703,HSPA8
0.924361975,-0.050904592,-0.134641757,EFCAB7
0.987058608,0.038563093,0.02340662,SFI1
0.089830664,-0.457784335,-1.938804942,YDJC
0.514941289,-0.35238711,-0.687816963,AFDN
0.080654401,1.150824229,2.048217303,CYSRT1
0.24473862,-0.482801755,-1.152982002,CENPX
0.300713408,0.185166677,1.029611513,CEBPZOS
0.527658152,-0.1755174,-0.67166122,BBIP1
0.847730994,-0.040017128,-0.252164352,FAM171A2
0.272363555,-0.303945223,-1.089314293,PHF20L1
0.58948585,-0.177164396,-0.597919936,PHF20L1
0.737095611,-0.142439524,-0.412957997,SNRPG;SNRPGP15
0.024757062,-2.449194272,-3.411420997,ELAPOR2
0.037525424,1.065244039,2.889275677,NUDT19
0.056814766,6.336098035,2.394420607,KPNA7
0.117133989,-0.302151362,-1.708087553,MIF4GD
0.024827195,1.396547,3.420912011,FER1L4
0.352299225,0.466065089,0.92677799,NAA50
0.274165367,0.699253718,1.08524294,MYO1G
0.887698596,0.127150218,0.189544713,HACD1
0.765006344,-0.153560321,-0.373945197,ESPN
0.050328625,-1.981243134,-2.546399263,GUK1
0.558174406,0.162879944,0.635041603,MYO9A
0.090204638,-1.243766467,-1.931754127,SMIM1
0.339653001,-0.872601191,-0.950909898,IQCJ-SCHIP1;SCHIP1
0.766437777,-0.414345105,-0.371243105,RAB11A
0.10098903,1.687661489,1.837296896,FAM98A
0.279515072,-0.438320478,-1.073411384,HNRNPC
0.017273381,4.202723185,3.809163225,SURF4
0.326411503,0.944474538,0.976098508,GLS
0.711464525,-0.17397054,-0.446599747,ATP1B1
0.358185306,0.52299118,0.915799489,GPR89A;GPR89B
0.027514512,0.732071241,3.306878104,PPP1R3G
0.04123818,0.868701617,2.807754863,SCRIB
0.790334491,0.081490199,0.338764362,WASH2P;WASH3P
0.060465409,0.846812248,2.331925607,UFD1
1,0,NaN,AJM1
0.031198188,1.489400546,3.104909176,NCOR2
0.055961957,-0.759552956,-2.425889531,UBE2E2
0.005006897,-2.484609286,-4.955189007,BLVRA
0.229615572,-0.295063972,-1.195645034,PXDN
0.991263873,0.021364848,0.016062506,GLB1
0.687968861,-0.223433177,-0.475248258,NAA50
0.008307692,-1.775797526,-7.230086484,ZC3HAV1
0.920178739,0.161214511,0.141757454,NIPSNAP2
0.258363385,-0.491402626,-1.122577334,UMAD1
0.876891673,-0.035759608,-0.20949877,TUBA4A
0.949251085,-0.086375237,-0.090039158,BAG3
0.824490168,0.366820335,0.288697307,TMEM238
0.231105518,0.330756823,1.19088933,MCRIP1
0.898016713,-0.070896467,-0.175461753,ACTB
0.952472029,0.130989075,0.085124633,ACTB
0.919140011,0.150064786,0.144237517,GART
0.803396014,0.071257591,0.319384274,CNBP
0.073560086,1.456027031,2.139760167,SLC35B1
0.446571086,-0.410121282,-0.777638234,CLDND1
0.309461138,0.416426023,1.010877418,RACK1
0.52026832,-0.474789302,-0.681945974,PAICS
0.112022004,1.308875084,1.745359224,GRAMD2B
1,0,NaN,C4orf54
0.396650993,-0.593963305,-0.852201618,SLAIN2
0.084492544,-1.105987549,-2.002103371,HNRNPH1
0.024348837,-1.517662366,-3.456277985,NPM1
0.016249057,-0.892277718,-3.907642393,PPP2CB
0.097063664,-0.79193751,-1.871370989,DENND3
0.564468254,1.365546544,0.628702712,DECR1
0.662663326,-0.361149152,-0.50508452,MTDH
0.050291233,-2.158076922,-2.54608422,ANXA6
1,0,NaN,RNF223
0.037198825,1.392872492,2.93745171,ARHGEF4
0.492838163,-0.201283137,-0.714833553,NACA
